Ticket #,date_time, $ ,Customer Name,job_name_clean,job code,material_clean,final_direction,Year,Truck #_clean,tax_exempt,id_truck,id_mat,material,id_cust,Trucksize
172696,2026-03-26T11:45:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,C2H19,Y,235,11.0,Broken Concrete,93,Axle 4_5
172697,2026-03-26T11:51:00,$165.00 ,MREX,Heinen's Warehouse (2722),2722,other clean hard fill,IN,2026,DEV11,N,49,18.0,Other Clean Hard Fill,93,Axle 4_5
172698,2026-03-26T11:52:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,GACE36,Y,274,11.0,Broken Concrete,93,Axle 4_5
172699,2026-03-26T11:55:00,$165.00 ,"Miller Pipeline, LLC",Lee Rd.,Lee Rd.,other clean hard fill,IN,2026,HEL44,N,276,18.0,Other Clean Hard Fill,89,Axle 4_5
172700,2026-03-26T12:00:00,$165.00 ,MREX,Heinen's Warehouse (2722),2722,other clean hard fill,IN,2026,DEV1,N,273,18.0,Other Clean Hard Fill,93,Axle 4_5
172701,2026-03-26T12:03:00,$195.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,STRICK001,Y,263,11.0,Broken Concrete,93,Semi
172702,2026-03-26T12:10:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,GACE26,Y,239,11.0,Broken Concrete,93,Axle 4_5
172703,2026-03-26T12:12:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,MAK21,Y,237,11.0,Broken Concrete,93,Axle 4_5
172704,2026-03-26T12:18:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,FP12,Y,76,11.0,Broken Concrete,93,Axle 4_5
172705,2026-03-26T12:19:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,MAK23,Y,98,11.0,Broken Concrete,93,Axle 4_5
172706,2026-03-26T12:22:00,$165.00 ,"Miller Pipeline, LLC",Lee Rd.,Lee Rd.,other clean hard fill,IN,2026,SMITH18,N,277,18.0,Other Clean Hard Fill,89,Axle 4_5
172707,2026-03-26T12:23:00,$120.00 ,"Miller Pipeline, LLC",Lee Rd.,Lee Rd.,other clean hard fill,IN,2026,SJS10,N,279,18.0,Other Clean Hard Fill,89,TriAxle
172708,2026-03-26T12:24:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,C2H19,Y,235,11.0,Broken Concrete,93,Axle 4_5
172709,2026-03-26T12:25:00,$308.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,#1&2 recycled concrete,OUT,2026,C2H19,Y,235,1.0,#1&2 Recycled Concrete,93,Axle 4_5
172710,2026-03-26T12:27:00,$120.00 ,"North Coast Concrete, Inc.",VA Hospital - 3311 W.73rd St.,VA Hospital - 3311 W.73rd St.,other clean hard fill,IN,2026,SEITZ02,N,255,18.0,Other Clean Hard Fill,95,TriAxle
172711,2026-03-26T12:28:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,other clean hard fill,IN,2026,C2H21,Y,220,18.0,Other Clean Hard Fill,93,Axle 4_5
172712,2026-03-26T12:28:00,$308.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,#1&2 recycled concrete,OUT,2026,C2H21,Y,220,1.0,#1&2 Recycled Concrete,93,Axle 4_5
172713,2026-03-26T12:34:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,GACE36,Y,274,11.0,Broken Concrete,93,Axle 4_5
172714,2026-03-26T12:47:00,$165.00 ,MREX,Heinen's Warehouse (2722),2722,other clean hard fill,IN,2026,DEV10,N,48,18.0,Other Clean Hard Fill,93,Axle 4_5
172715,2026-03-26T12:53:00,$195.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,STRICK001,Y,263,11.0,Broken Concrete,93,Semi
172716,2026-03-26T12:55:00,$165.00 ,MREX,Cuyahoga Cty. Central Service Campus (2777),2777,broken concrete,IN,2026,MAK21,Y,237,11.0,Broken Concrete,93,Axle 4_5
