id,ticket_number,ticket_year,ticket_sequence,direction,created_at,job_id,job_code_snapshot,job_name_snapshot,customer_snapshot,truck_id,truck_number_snapshot,material_id,material_name_snapshot,quantity,unit,notes,pdf_path,pdf_blob,tax_exempt,cost,active,modified_to_id
3837,DT-2026-001165,2026,1165,IN,2026-02-25T14:31:00,4321.0,2753,13555 McCracken Road (2753),MREX,49.0,DEV11,18.0,other clean hard fill (rubble & mixed material),1.0,Load,,,,N,165.0,True,
3838,DT-2026-001166,2026,1166,IN,2026-02-25T14:34:00,3608.0,2720,Woodhill Roads PH1 (2720),Petty Group LLC,15.0,BUM718,18.0,other clean hard fill (rubble & mixed material),1.0,Load,,,,N,165.0,True,
3839,DT-2026-001167,2026,1167,OUT,2026-02-25T14:45:00,3614.0,2743,West 26th Apartments (2743),Petty Group LLC,52.0,DEV3,1.0,#1&2 Recycled Concrete,1.0,Load,,,,Y,308.0,True,
3840,DT-2026-001168,2026,1168,IN,2026-02-25T14:49:00,3614.0,2743,West 26th Apartments (2743),Petty Group LLC,240.0,C2H22,20.0,bulk sand (pre-screened) IN,1.0,Load,,,,Y,66.0,True,
3841,DT-2026-001169,2026,1169,OUT,2026-02-25T14:49:00,3614.0,2743,West 26th Apartments (2743),Petty Group LLC,240.0,C2H22,1.0,#1&2 Recycled Concrete,1.0,Load,,,,Y,308.0,True,
3842,DT-2026-001170,2026,1170,IN,2026-02-25T14:49:00,3608.0,2720,Woodhill Roads PH1 (2720),Petty Group LLC,17.0,CS002,18.0,other clean hard fill (rubble & mixed material),1.0,Load,,,,N,165.0,True,
3843,DT-2026-001171,2026,1171,OUT,2026-02-25T15:07:00,3608.0,2720,Woodhill Roads PH1 (2720),Petty Group LLC,237.0,MAK21,1.0,#1&2 Recycled Concrete,1.0,Load,,,,N,308.0,True,
3844,DT-2026-001172,2026,1172,OUT,2026-02-25T15:10:00,3608.0,2720,Woodhill Roads PH1 (2720),Petty Group LLC,98.0,MAK23,1.0,#1&2 Recycled Concrete,1.0,Load,,,,N,308.0,True,
3845,DT-2026-001173,2026,1173,IN,2026-02-25T15:12:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,99.0,MAL07,19.0,Rubble,1.0,Load,,,,N,165.0,True,
3846,DT-2026-001174,2026,1174,IN,2026-02-25T15:14:00,4321.0,2753,13555 McCracken Road (2753),MREX,49.0,DEV11,18.0,other clean hard fill (rubble & mixed material),1.0,Load,,,,N,165.0,True,
3847,DT-2026-001175,2026,1175,IN,2026-02-25T15:35:00,3614.0,2743,West 26th Apartments (2743),Petty Group LLC,235.0,C2H19,20.0,bulk sand (pre-screened) IN,1.0,Load,,,,Y,66.0,True,
3848,DT-2026-001176,2026,1176,IN,2026-02-25T15:51:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,88.0,JDH05,19.0,Rubble,1.0,Load,,,,N,165.0,True,
3849,DT-2026-001177,2026,1177,IN,2026-02-25T16:00:00,3951.0,7383,CHIA Fence '25-'27 (7383),Petty Group LLC,126.0,MEHYD,23.0,Slop,1.0,Load,,,,N,500.0,True,
3850,DT-2026-001178,2026,1178,IN,2026-02-25T16:13:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,99.0,MAL07,19.0,Rubble,1.0,Load,,,,N,165.0,True,
3851,DT-2026-001179,2026,1179,OUT,2026-02-26T07:01:00,3614.0,2743,West 26th Apartments (2743),Petty Group LLC,239.0,GACE26,1.0,#1&2 Recycled Concrete,1.0,Load,,,,Y,308.0,True,
3852,DT-2026-001180,2026,1180,OUT,2026-02-26T07:17:00,3614.0,2743,West 26th Apartments (2743),Petty Group LLC,243.0,DLP22,1.0,#1&2 Recycled Concrete,1.0,Load,,,,Y,308.0,True,
3853,DT-2026-001181,2026,1181,IN,2026-02-26T07:28:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,99.0,MAL07,19.0,Rubble,1.0,Load,,,,N,165.0,True,
3854,DT-2026-001182,2026,1182,IN,2026-02-26T07:40:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,88.0,JDH05,19.0,Rubble,1.0,Load,,,,N,165.0,True,
3855,DT-2026-001183,2026,1183,IN,2026-02-26T08:00:00,3608.0,2720,Woodhill Roads PH1 (2720),Petty Group LLC,54.0,DEV5,18.0,other clean hard fill (rubble & mixed material),1.0,Load,,,,N,165.0,True,
3856,DT-2026-001184,2026,1184,IN,2026-02-26T08:11:00,3608.0,2720,Woodhill Roads PH1 (2720),Petty Group LLC,35.0,DC28,18.0,other clean hard fill (rubble & mixed material),1.0,Load,,,,N,165.0,True,
3857,DT-2026-001185,2026,1185,IN,2026-02-26T08:25:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,244.0,RAR835,19.0,Rubble,1.0,Load,,,,N,165.0,True,
3858,DT-2026-001186,2026,1186,IN,2026-02-26T08:25:00,3608.0,2720,Woodhill Roads PH1 (2720),Petty Group LLC,17.0,CS002,18.0,other clean hard fill (rubble & mixed material),1.0,Load,,,,N,165.0,True,
3859,DT-2026-001187,2026,1187,IN,2026-02-26T08:28:00,4145.0,15335,HKK Multifamily (15335),Eagle Abatement,237.0,MAK21,19.0,Rubble,1.0,Load,,,,N,165.0,True,
3860,DT-2026-001188,2026,1188,IN,2026-02-26T08:29:00,3614.0,2743,West 26th Apartments (2743),Petty Group LLC,239.0,GACE26,20.0,bulk sand (pre-screened) IN,1.0,Load,,,,Y,66.0,True,
3861,DT-2026-001189,2026,1189,IN,2026-02-26T08:32:00,3608.0,2720,Woodhill Roads PH1 (2720),Petty Group LLC,234.0,DON02,18.0,other clean hard fill (rubble & mixed material),1.0,Load,,,,N,165.0,True,
3862,DT-2026-001190,2026,1190,IN,2026-02-26T08:46:00,3614.0,2743,West 26th Apartments (2743),Petty Group LLC,243.0,DLP22,20.0,bulk sand (pre-screened) IN,1.0,Load,,,,Y,66.0,True,
