Ticket #,Date,Time,Truck #,Trucksize, $ ,Customer Name,job_name_clean,job code,material_clean,final_direction,Year,date_time,Truck #_clean
170617,2026-01-08,4:58 PM,me7207,Semi,$195.00 ,Eagle Abatement,Heritage-Hanna Cottage (15341),15341,Broken Concrete,IN,2026,2026-01-08T16:58:00,me7207
170618,2026-01-08,5:04 PM,dev10,Axle 4_5,$165.00 ,Eagle Abatement,Heritage-Hanna Cottage (15341),15341,Broken Concrete,IN,2026,2026-01-08T17:04:00,dev10
170619,2026-01-08,5:04 PM,dev3,Axle 4_5,$165.00 ,Eagle Abatement,Heritage-Hanna Cottage (15341),15341,Broken Concrete,IN,2026,2026-01-08T17:04:00,dev3
170620,2026-01-08,5:36 PM,don08,Axle 4_5,$165.00 ,Eagle Abatement,Heritage-Hanna Cottage (15341),15341,Broken Concrete,IN,2026,2026-01-08T17:36:00,don08
170621,2026-01-08,5:47 PM,dev5,Axle 4_5,$165.00 ,Eagle Abatement,Heritage-Hanna Cottage (15341),15341,Broken Concrete,IN,2026,2026-01-08T17:47:00,dev5
170622,2026-01-08,5:53 PM,me7207,Semi,$195.00 ,Eagle Abatement,Heritage-Hanna Cottage (15341),15341,Broken Concrete,IN,2026,2026-01-08T17:53:00,me7207
170623,2026-01-08,5:58 PM,dev7,Axle 4_5,$165.00 ,Eagle Abatement,Heritage-Hanna Cottage (15341),15341,Broken Concrete,IN,2026,2026-01-08T17:58:00,dev7
170624,2026-01-08,6:05 PM,dev3,Axle 4_5,$165.00 ,Eagle Abatement,Heritage-Hanna Cottage (15341),15341,Broken Concrete,IN,2026,2026-01-08T18:05:00,dev3
170625,2026-01-08,6:20 PM,dev10,Axle 4_5,$165.00 ,Eagle Abatement,Heritage-Hanna Cottage (15341),15341,Broken Concrete,IN,2026,2026-01-08T18:20:00,dev10
170626,2026-01-09,8:02 AM,mid909,Axle 1,$90.00 ,"Middleton Mechanical, LLC",Parkview Dr.,,sand (screened),OUT,2026,2026-01-09T08:02:00,mid909
170627,2026-01-09,8:11 AM,seitz03,TriAxle,$120.00 ,"North Coast Concrete, Inc.",Wamelink Ave. - Woodhill Station,,other clean hard fill (rubble & mixed material),IN,2026,2026-01-09T08:11:00,seitz03
170628,2026-01-09,8:17 AM,rl10,Axle 4_5,$165.00 ,Shook Construction Co. ,Bedford - Solon Rd.,,other clean hard fill (rubble & mixed material),IN,2026,2026-01-09T08:17:00,rl10
170629,2026-01-09,8:21 AM,rl21,Axle 4_5,$165.00 ,Shook Construction Co. ,Bedford - Solon Rd.,,other clean hard fill (rubble & mixed material),IN,2026,2026-01-09T08:21:00,rl21
